Unnamed: 0,MSSubClass,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
17,90,72.0,10791,1,1,10,3,4,5,1967,1967,1,1,2,2,2,0.0,5,4,3,5,0,0,0,1296,0,1296,2,0,2,2,2,6,1,0,4,1967.0,2,2,516,1,1,1,0,0,0,0,0,0,500,10,2006,1,1,90000
18,20,66.0,13695,1,1,13,1,5,5,2004,2004,1,1,1,1,2,0.0,1,2,1,1,646,468,1114,1114,0,1114,1,1,3,1,1,6,1,0,2,2004.0,2,2,576,1,1,1,0,102,0,0,0,0,0,6,2008,1,1,159000
19,20,70.0,7560,1,1,12,1,5,6,1958,1965,2,1,5,5,2,0.0,2,2,1,1,504,525,1029,1339,0,1339,1,0,3,1,2,6,2,0,1,1958.0,2,1,294,1,1,1,0,0,0,0,0,0,0,5,2009,3,2,139000
20,60,101.0,14215,2,3,11,1,8,5,2005,2006,1,1,1,1,1,380.0,1,3,1,4,0,1158,1158,1158,1218,2376,3,1,4,1,1,9,1,1,3,2005.0,1,3,853,1,1,1,240,154,0,0,0,0,0,11,2006,2,3,325300
21,45,57.0,7449,1,1,14,1,7,7,1930,1950,1,1,3,6,2,0.0,1,2,1,1,0,637,637,1108,0,1108,1,0,3,1,1,6,1,1,1,1930.0,2,1,280,1,1,2,0,0,205,0,0,0,0,6,2007,1,1,139400
22,20,75.0,9742,1,1,1,1,8,5,2002,2002,2,1,1,1,1,281.0,1,1,1,1,0,1777,1777,1795,0,1795,2,0,3,1,1,7,1,1,1,2002.0,1,2,534,1,1,1,171,159,0,0,0,0,0,9,2008,1,1,230000
23,120,44.0,4224,1,1,15,4,5,7,1976,1976,1,1,7,7,2,0.0,1,1,1,1,840,200,1040,1060,0,1060,1,0,3,1,2,6,1,1,1,1976.0,2,2,572,1,1,1,100,110,0,0,0,0,0,6,2007,1,1,129900
24,20,1978.5061638868744,8246,2,1,10,1,5,8,1968,2001,1,1,8,5,2,0.0,2,2,1,3,188,204,1060,1060,0,1060,1,0,3,1,1,6,1,1,1,1968.0,2,1,270,1,1,1,406,90,0,0,0,0,0,5,2010,1,1,154000
25,20,110.0,14230,1,3,11,1,8,5,2007,2007,1,1,1,1,3,640.0,1,1,1,1,0,1566,1566,1600,0,1600,2,0,3,1,1,7,1,1,1,2007.0,1,3,890,1,1,1,0,56,0,0,0,0,0,7,2009,1,1,256300
26,20,60.0,7200,1,3,12,1,5,7,1951,2000,1,1,3,6,2,0.0,2,2,1,3,234,180,900,900,0,900,1,0,3,1,1,5,1,0,2,2005.0,2,2,576,1,1,1,222,32,0,0,0,0,0,5,2010,1,1,134800
27,20,98.0,11478,1,1,11,1,8,5,2007,2008,1,1,1,1,3,200.0,1,3,1,1,1218,486,1704,1704,0,1704,2,0,3,1,1,7,1,1,1,2008.0,1,3,772,1,1,1,0,50,0,0,0,0,0,5,2010,1,1,306000
28,20,47.0,16321,2,4,12,1,5,6,1957,1997,1,1,2,2,2,0.0,2,2,1,2,1277,207,1484,1600,0,1600,1,0,2,1,2,6,1,2,1,1957.0,1,1,319,1,1,1,288,258,0,0,0,0,0,12,2006,1,1,207500
29,30,60.0,6324,2,1,9,1,4,6,1927,1950,1,1,2,2,2,0.0,3,2,1,1,0,520,520,520,0,520,1,0,1,1,4,4,1,0,2,1920.0,2,1,240,2,1,1,49,0,87,0,0,0,0,5,2008,1,1,68500
30,70,50.0,8500,1,1,14,1,4,4,1920,1950,3,1,5,8,2,0.0,3,2,1,1,0,649,649,649,668,1317,1,0,3,1,2,6,1,0,2,1920.0,2,1,250,1,2,2,0,54,172,0,0,0,0,7,2008,1,1,40000
31,20,1978.5061638868744,8544,2,4,10,1,5,6,1966,2006,1,1,4,4,2,0.0,2,2,1,1,0,1228,1228,1228,0,1228,1,1,3,1,1,6,1,0,1,1966.0,2,1,271,1,1,1,0,65,0,0,0,0,0,6,2008,1,1,149350
32,20,85.0,11049,1,3,1,1,8,5,2007,2007,1,1,1,1,2,0.0,1,3,1,4,0,1234,1234,1234,0,1234,2,0,3,1,1,7,1,0,1,2007.0,1,2,484,1,1,1,0,30,0,0,0,0,0,1,2008,1,1,179900
33,20,70.0,10552,2,1,12,1,5,5,1959,1959,2,1,5,8,2,0.0,2,2,1,1,1018,380,1398,1700,0,1700,1,1,4,1,1,6,1,1,1,1959.0,1,2,447,1,1,1,0,38,0,0,0,0,0,4,2010,1,1,165500
34,120,60.0,7313,1,1,11,4,9,5,2005,2005,2,1,2,2,1,246.0,1,3,1,1,1153,408,1561,1561,0,1561,2,0,2,1,3,6,1,1,1,2005.0,3,2,556,1,1,1,203,47,0,0,0,0,0,8,2007,1,1,277500
35,60,108.0,13418,1,1,11,1,8,5,2004,2005,1,1,1,1,3,132.0,1,3,1,4,0,1117,1117,1132,1320,2452,3,1,4,1,1,9,1,1,3,2004.0,3,3,691,1,1,1,113,32,0,0,0,0,0,9,2006,1,1,309000
36,20,112.0,10859,1,3,1,1,5,5,1994,1995,1,1,1,1,2,0.0,1,1,1,1,0,1097,1097,1097,0,1097,1,1,3,1,2,6,1,0,1,1995.0,2,2,672,1,1,1,392,64,0,0,0,0,0,6,2009,1,1,145000
37,20,74.0,8532,1,1,12,1,5,6,1954,1990,2,1,3,6,1,650.0,2,2,1,1,1213,84,1297,1297,0,1297,1,0,3,1,2,5,1,1,1,1954.0,3,2,498,1,1,1,0,0,0,0,0,0,0,10,2009,1,1,153000
38,20,68.0,7922,1,1,12,1,5,7,1953,2007,1,1,1,1,2,0.0,2,2,1,1,731,326,1057,1057,0,1057,1,0,3,1,1,5,1,0,2,1953.0,2,1,246,1,1,1,0,52,0,0,0,0,0,1,2010,1,2,109000
39,90,65.0,6040,1,1,16,3,4,5,1955,1955,1,1,9,5,2,0.0,1,4,3,5,0,0,0,1152,0,1152,2,0,2,2,4,6,1,0,5,1978.5061638868744,4,0,0,4,3,2,0,0,0,0,0,0,0,6,2008,1,4,82000
40,20,84.0,8658,1,1,12,1,6,5,1965,1965,1,1,3,6,1,101.0,2,2,1,1,643,445,1088,1324,0,1324,2,0,3,1,2,6,1,1,1,1965.0,1,2,440,1,1,1,0,138,0,0,0,0,0,12,2006,1,2,160000
41,20,115.0,16905,1,1,17,1,5,6,1959,1959,1,1,1,1,2,0.0,2,2,1,2,967,383,1350,1328,0,1328,1,1,2,1,2,5,1,2,1,1959.0,1,1,308,1,1,3,0,104,0,0,0,0,0,7,2007,1,1,170000
42,85,1978.5061638868744,9180,2,4,13,1,5,7,1983,1983,1,1,4,4,2,0.0,2,1,1,4,747,0,840,884,0,884,1,0,2,1,1,5,1,0,1,1983.0,1,2,504,1,4,1,240,0,0,0,0,0,0,12,2007,1,1,144000
43,20,1978.5061638868744,9200,2,4,1,1,5,6,1975,1980,2,1,1,1,2,0.0,2,1,1,4,280,167,938,938,0,938,1,0,3,1,2,5,1,0,2,1977.0,2,1,308,1,1,1,145,0,0,0,0,0,0,7,2008,1,1,130250
44,20,70.0,7945,1,1,12,1,5,6,1959,1959,1,1,5,6,2,0.0,2,2,1,1,179,465,1150,1150,0,1150,1,0,3,1,2,6,1,0,1,1959.0,1,1,300,1,1,1,0,0,0,0,0,0,0,5,2006,1,1,141000
45,120,61.0,7658,1,1,11,4,9,5,2005,2005,2,1,2,2,1,412.0,1,3,1,1,456,1296,1752,1752,0,1752,2,0,2,1,3,6,1,1,1,2005.0,1,2,576,1,1,1,196,82,0,0,0,0,0,2,2010,1,1,319900
46,50,48.0,12822,2,4,5,1,7,5,2003,2003,1,1,1,1,2,0.0,1,3,1,1,1351,83,1434,1518,631,2149,1,1,1,1,1,6,1,1,1,2003.0,1,2,670,1,1,1,168,43,0,0,198,0,0,8,2009,1,2,239686
47,20,84.0,11096,1,1,6,1,8,5,2006,2006,1,1,1,1,2,0.0,1,1,1,4,24,1632,1656,1656,0,1656,2,0,3,1,1,7,1,0,1,2006.0,1,3,826,1,1,1,0,146,0,0,0,0,0,7,2007,1,1,249700
48,190,33.0,4456,1,1,8,2,4,5,1920,2008,1,1,2,2,2,0.0,3,2,1,1,0,736,736,736,716,1452,2,0,2,3,2,8,1,0,5,1978.5061638868744,4,0,0,4,3,2,0,0,102,0,0,0,0,6,2009,2,3,113000
49,20,66.0,7742,1,1,10,1,5,7,1966,1966,1,1,4,4,2,0.0,2,2,1,1,763,192,955,955,0,955,1,0,3,1,2,6,1,0,1,1966.0,2,1,386,1,1,1,0,0,0,0,0,0,0,1,2007,1,1,127000
50,60,1978.5061638868744,13869,3,3,18,1,6,6,1997,1997,1,1,1,1,2,0.0,1,1,1,4,182,612,794,794,676,1470,2,0,3,1,2,6,1,0,1,1997.0,3,2,388,1,1,1,0,75,0,0,0,0,0,7,2007,1,1,177000
51,50,52.0,6240,1,1,9,1,6,6,1934,1950,1,1,3,6,2,0.0,1,2,1,1,0,816,816,816,0,1176,1,0,3,1,2,6,1,1,2,1985.0,2,2,528,1,1,1,112,0,0,0,0,0,400,9,2006,1,1,114500
52,90,110.0,8472,3,3,14,3,5,5,1963,1963,1,1,3,6,2,0.0,2,1,1,2,104,0,816,816,0,816,1,0,2,1,2,5,1,0,4,1963.0,2,2,516,1,1,1,106,0,0,0,0,0,0,5,2010,1,1,110000
53,20,68.0,50271,2,1,2,1,9,5,1981,1987,1,2,6,3,2,0.0,2,3,1,2,1810,32,1842,1842,0,1842,0,1,0,1,1,5,1,1,1,1981.0,3,3,894,1,1,1,857,72,0,0,0,0,0,11,2006,1,1,385000
54,80,60.0,7134,1,1,12,1,5,5,1955,1955,1,1,2,2,2,0.0,2,2,1,1,384,0,384,1360,0,1360,1,0,3,1,2,6,2,1,2,1962.0,2,2,572,1,1,1,0,50,0,0,0,0,0,2,2007,1,1,130000
55,20,100.0,10175,2,1,12,1,6,5,1964,1964,1,1,4,5,1,272.0,2,2,1,1,490,935,1425,1425,0,1425,2,0,3,1,2,7,1,1,1,1964.0,1,2,576,1,1,1,0,0,0,407,0,0,0,7,2008,1,1,180500
56,160,24.0,2645,1,1,6,5,8,5,1999,2000,1,1,2,2,1,456.0,1,1,1,1,649,321,970,983,756,1739,2,1,3,1,1,7,1,0,1,1999.0,3,2,480,1,1,1,115,0,0,0,0,0,0,8,2009,1,2,172500
57,60,89.0,11645,2,3,1,1,7,5,2004,2004,1,1,1,1,2,0.0,1,1,1,1,0,860,860,860,860,1720,2,1,3,1,1,7,1,0,1,2004.0,1,2,565,1,1,1,0,70,0,0,0,0,0,8,2006,1,1,196500
58,60,66.0,13682,3,4,19,1,10,5,2006,2006,2,1,1,1,1,1031.0,1,3,1,2,0,1410,1410,1426,1519,2945,3,1,3,1,1,10,1,1,3,2006.0,3,3,641,1,1,1,192,0,37,0,0,0,0,10,2006,2,3,438780
59,20,60.0,7200,1,1,1,1,5,7,1972,1972,1,1,4,4,2,0.0,2,2,1,4,632,148,780,780,0,780,1,0,2,1,2,4,1,0,2,1973.0,2,1,352,1,1,1,196,0,0,0,0,0,0,1,2008,1,1,124900
60,20,63.0,13072,1,1,13,1,6,5,2004,2004,1,1,1,1,2,0.0,1,1,1,1,941,217,1158,1158,0,1158,1,1,3,1,1,5,1,0,2,2006.0,2,2,576,1,1,1,0,50,0,0,0,0,0,5,2006,2,3,158000
61,75,60.0,7200,1,1,14,1,5,7,1920,1996,1,1,2,2,2,0.0,3,2,4,1,0,530,530,581,530,1111,1,0,3,1,4,6,1,0,2,1935.0,2,1,288,1,1,2,0,0,144,0,0,0,0,3,2007,1,1,101000
62,120,44.0,6442,2,1,11,4,8,5,2006,2006,1,1,1,1,3,178.0,1,1,2,3,24,1346,1370,1370,0,1370,2,0,2,1,1,6,1,1,1,2006.0,1,2,484,1,1,1,120,49,0,0,0,0,0,10,2007,1,1,202500
63,70,50.0,10300,2,1,8,1,7,6,1921,1950,1,1,10,9,2,0.0,3,2,1,1,0,576,576,902,808,1710,2,0,3,1,2,9,1,0,2,1990.0,2,2,480,1,1,1,12,11,64,0,0,0,0,4,2010,1,1,140000
64,60,1978.5061638868744,9375,1,1,1,1,7,5,1997,1998,1,1,1,1,1,573.0,1,1,1,1,739,318,1057,1057,977,2034,2,1,3,1,1,8,1,0,1,1998.0,1,2,645,1,1,1,576,36,0,0,0,0,0,2,2009,1,1,219500
65,60,76.0,9591,1,1,11,1,8,5,2004,2005,1,1,1,1,1,344.0,1,3,1,4,0,1143,1143,1143,1330,2473,2,1,4,1,1,9,1,1,3,2004.0,1,3,852,1,1,1,192,151,0,0,0,0,0,10,2007,1,1,317000
66,20,1978.5061638868744,19900,1,1,12,1,7,5,1970,1989,1,1,8,5,1,287.0,2,1,1,2,912,1035,1947,2207,0,2207,2,0,3,1,2,7,2,1,1,1970.0,1,2,576,1,1,1,301,0,0,0,0,0,0,7,2010,1,1,180000
67,20,72.0,10665,2,1,1,1,7,5,2003,2003,1,1,1,1,1,167.0,1,1,1,4,1013,440,1453,1479,0,1479,2,0,3,1,1,7,1,0,1,2003.0,1,2,558,1,1,1,144,29,0,0,0,0,0,6,2007,1,1,226000
68,30,47.0,4608,1,3,8,1,4,6,1945,1950,1,1,2,2,2,0.0,2,2,1,1,0,747,747,747,0,747,1,0,2,1,2,4,1,0,1,1945.0,2,1,220,1,1,1,0,0,0,0,0,0,0,6,2010,1,1,80000
69,50,81.0,15593,1,3,20,1,7,4,1953,1953,1,1,5,10,2,0.0,2,2,1,1,603,701,1304,1304,983,2287,2,0,3,1,2,7,1,1,1,1953.0,3,2,667,1,1,1,0,21,114,0,0,0,0,7,2006,1,1,225000
70,20,95.0,13651,2,1,12,1,7,6,1973,1973,1,1,8,5,1,1115.0,2,1,1,2,1880,343,2223,2223,0,2223,2,0,3,1,2,8,1,2,1,1973.0,3,2,516,1,1,1,300,0,0,0,0,0,0,2,2007,1,1,244000
71,20,69.0,7599,1,3,5,1,4,6,1982,2006,1,1,4,5,2,0.0,2,2,1,1,565,280,845,845,0,845,1,0,2,1,2,4,1,0,2,1987.0,2,2,360,1,1,1,0,0,0,0,0,0,0,6,2007,1,1,129500
72,60,74.0,10141,2,3,18,1,7,5,1998,1998,1,1,1,1,1,40.0,1,1,1,1,0,832,832,885,833,1718,2,1,3,1,2,7,1,1,1,1998.0,3,2,427,1,1,1,0,94,0,0,291,0,0,12,2009,1,1,185000
73,20,85.0,10200,1,1,12,1,5,7,1954,2003,1,1,3,6,1,104.0,2,2,1,1,320,404,1086,1086,0,1086,1,0,3,1,2,6,1,0,1,1989.0,2,2,490,1,1,1,0,0,0,0,0,0,0,5,2010,1,1,144900
74,50,60.0,5790,1,3,8,1,3,6,1915,1950,3,1,1,1,2,0.0,2,5,1,1,0,840,840,840,765,1605,2,0,3,2,2,8,1,0,2,1915.0,2,1,379,1,1,1,0,0,202,0,0,0,0,5,2010,1,1,107400
75,180,21.0,1596,1,1,15,5,4,5,1973,1973,1,1,7,7,2,0.0,2,1,1,2,462,0,462,526,462,988,1,0,2,1,2,5,1,0,3,1973.0,2,1,297,1,1,1,120,101,0,0,0,0,0,11,2009,1,1,91000
76,20,1978.5061638868744,8475,2,1,12,1,4,7,1956,1956,1,1,1,1,2,0.0,2,2,1,1,228,724,952,952,0,952,1,0,2,1,2,4,1,0,2,1956.0,2,1,283,1,1,1,0,0,0,0,0,0,0,4,2008,1,1,135750
77,50,50.0,8635,1,1,9,1,5,5,1948,2001,1,1,3,6,2,0.0,2,2,1,1,336,295,672,1072,213,1285,1,0,2,1,2,6,2,0,2,1948.0,2,1,240,1,1,1,0,0,0,0,0,0,0,1,2008,1,1,127000
78,90,72.0,10778,1,1,10,3,4,5,1968,1968,2,1,4,4,2,0.0,2,2,1,1,0,1768,1768,1768,0,1768,2,0,4,2,2,8,1,0,5,1978.5061638868744,4,0,0,4,3,1,0,0,0,0,0,0,0,4,2010,1,1,136500
79,50,60.0,10440,1,3,8,1,5,6,1910,1981,1,1,3,6,2,0.0,1,2,1,1,0,440,440,682,548,1230,1,1,2,1,2,5,1,0,2,1966.0,2,2,440,1,1,1,74,0,128,0,0,0,0,5,2009,1,1,110000
80,60,100.0,13000,1,3,12,1,6,6,1968,1968,1,1,1,1,1,576.0,2,1,1,1,448,448,896,1182,960,2142,2,1,4,1,1,8,1,1,1,1968.0,3,1,509,1,1,1,0,72,0,0,252,0,0,6,2009,1,1,193500
81,120,32.0,4500,1,2,5,4,6,5,1998,1998,2,1,1,1,1,443.0,1,3,2,1,1201,36,1237,1337,0,1337,2,0,2,1,2,5,1,0,1,1998.0,3,2,405,1,1,1,0,199,0,0,0,0,0,3,2006,1,1,153500
82,20,78.0,10206,1,1,6,1,8,5,2007,2007,1,1,1,1,3,468.0,1,1,1,1,33,1530,1563,1563,0,1563,2,0,3,1,1,6,1,1,1,2007.0,1,3,758,1,1,1,144,99,0,0,0,0,0,10,2008,1,1,245000
83,20,80.0,8892,2,1,12,1,5,5,1960,1960,1,1,2,2,4,66.0,2,2,1,1,0,1065,1065,1065,0,1065,1,1,3,1,2,6,1,0,2,1974.0,2,2,461,1,1,1,74,0,0,0,0,0,0,7,2007,3,1,126500
84,80,1978.5061638868744,8530,2,1,18,1,7,5,1995,1996,1,1,4,4,1,22.0,1,1,1,1,0,384,384,804,670,1474,2,1,3,1,2,7,1,1,3,1995.0,3,2,400,1,1,1,120,72,0,0,0,0,700,5,2009,1,1,168500
85,60,121.0,16059,1,3,4,1,8,5,1991,1992,2,1,4,4,1,284.0,2,1,1,1,0,1288,1288,1301,1116,2417,2,1,4,1,1,9,1,1,1,1991.0,2,2,462,1,1,1,127,82,0,0,0,0,0,4,2006,1,1,260000
86,60,122.0,11911,3,1,18,1,6,5,2005,2005,1,1,1,1,2,0.0,1,1,1,4,0,684,684,684,876,1560,2,1,3,1,1,6,1,1,3,2005.0,3,2,400,1,1,1,100,38,0,0,0,0,0,3,2009,1,1,174000
87,160,40.0,3951,1,3,6,4,6,5,2009,2009,1,1,1,1,3,76.0,1,1,1,4,0,612,612,612,612,1224,2,1,2,1,1,4,1,0,2,2009.0,1,2,528,1,1,1,0,234,0,0,0,0,0,6,2009,2,3,164500
88,50,105.0,8470,2,3,14,1,3,2,1915,1982,2,1,8,5,2,0.0,2,2,4,1,0,1013,1013,1013,0,1526,1,0,2,1,4,6,1,0,5,1978.5061638868744,4,0,0,4,3,2,0,0,156,0,0,0,0,10,2009,4,2,85000
89,20,60.0,8070,1,1,1,1,4,5,1994,1995,1,1,1,1,2,0.0,1,1,1,1,588,402,990,990,0,990,1,0,3,1,2,5,1,0,5,1978.5061638868744,4,0,0,4,3,1,0,0,0,0,0,0,0,8,2007,1,1,123600
90,20,60.0,7200,1,1,12,1,4,5,1950,1950,1,1,5,6,2,0.0,5,4,3,5,0,0,0,1040,0,1040,1,0,2,1,2,4,1,0,2,1950.0,2,2,420,1,1,1,0,29,0,0,0,0,0,7,2006,1,1,109900
91,20,85.0,8500,1,1,12,1,5,3,1961,1961,2,1,4,4,4,203.0,2,2,1,1,600,635,1235,1235,0,1235,1,0,2,1,2,6,1,0,1,1961.0,2,2,480,1,1,1,0,0,0,0,0,0,0,12,2006,1,2,98600
92,30,80.0,13360,2,1,3,1,5,7,1921,2006,1,1,3,6,2,0.0,3,1,1,1,713,163,876,964,0,964,1,0,2,1,2,5,1,0,2,1921.0,2,2,432,1,1,1,0,0,44,0,0,0,0,8,2009,1,1,163500
93,190,60.0,7200,1,3,8,2,6,6,1910,1998,2,1,2,2,2,0.0,3,2,4,3,1046,168,1214,1260,1031,2291,2,0,4,2,2,9,1,1,2,1900.0,2,2,506,1,1,1,0,0,0,0,99,0,0,11,2007,1,1,133900
94,60,69.0,9337,2,1,1,1,6,5,1997,1997,1,1,1,1,2,0.0,1,1,1,1,648,176,824,905,881,1786,2,1,3,1,1,7,1,0,1,1997.0,1,2,684,1,1,1,0,162,0,0,0,0,0,5,2007,1,1,204750
95,60,1978.5061638868744,9765,3,3,18,1,6,8,1993,1993,1,1,1,1,1,68.0,1,1,2,1,310,370,680,680,790,1470,2,1,3,1,2,6,1,1,3,1993.0,3,2,420,1,1,1,232,63,0,0,0,0,480,4,2009,1,1,185000
96,20,78.0,10264,2,1,1,1,7,5,1999,1999,1,1,1,1,1,183.0,1,1,1,4,1162,426,1588,1588,0,1588,2,0,3,1,1,6,1,0,1,1999.0,1,2,472,1,1,1,158,29,0,0,0,0,0,8,2006,1,1,214000
97,20,73.0,10921,1,1,16,1,4,5,1965,1965,2,1,4,4,1,48.0,2,2,1,1,520,440,960,960,0,960,1,0,3,1,2,6,1,0,1,1965.0,3,1,432,1,1,3,120,0,0,0,0,0,0,5,2007,1,1,94750
98,30,85.0,10625,1,3,16,1,5,5,1920,1950,1,1,3,6,2,0.0,3,2,1,1,108,350,458,835,0,835,1,0,2,1,2,5,1,0,6,1920.0,2,1,366,2,1,1,0,0,77,0,0,0,400,5,2010,3,2,83000
99,20,77.0,9320,2,1,12,1,4,5,1959,1959,1,1,8,5,2,0.0,2,2,1,1,569,381,950,1225,0,1225,1,1,3,1,2,6,1,0,5,1978.5061638868744,4,0,0,4,3,1,352,0,0,0,0,0,400,1,2010,1,1,128950
100,20,1978.5061638868744,10603,2,1,7,1,6,7,1977,2001,1,1,8,5,1,28.0,1,2,1,3,1200,410,1610,1610,0,1610,2,0,3,1,1,6,1,2,1,1977.0,1,2,480,1,1,1,168,68,0,0,0,0,0,2,2010,1,1,205000
101,60,77.0,9206,1,1,13,1,6,5,1985,1985,1,1,4,4,1,336.0,2,1,1,1,0,741,741,977,755,1732,2,1,3,1,1,7,1,1,1,1985.0,3,2,476,1,1,1,192,46,0,0,0,0,0,6,2010,1,1,178000
102,90,64.0,7018,1,1,13,3,5,5,1979,1979,1,1,4,4,2,0.0,5,4,3,5,0,0,0,1535,0,1535,2,0,4,2,2,8,1,0,1,1979.0,2,2,410,1,1,1,0,0,0,0,0,0,0,6,2009,1,5,118964
