,Unnamed: 0,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
37,37,20,74.0,8532,5,6,1954,1990,2,1,3,6,1,650.0,2,2,1,1,1213,84,1297,1297,0,1297,1,0,3,1,2,5,1,1,1,1954.0,3,2,498,0,0,0,10,2009,153000
38,38,20,68.0,7922,5,7,1953,2007,1,1,1,1,2,0.0,2,2,1,1,731,326,1057,1057,0,1057,1,0,3,1,1,5,1,0,2,1953.0,2,1,246,0,52,0,1,2010,109000
39,39,90,65.0,6040,4,5,1955,1955,1,1,9,5,2,0.0,1,4,3,5,0,0,0,1152,0,1152,2,0,2,2,4,6,1,0,5,1978.5061638868744,4,0,0,0,0,0,6,2008,82000
40,40,20,84.0,8658,6,5,1965,1965,1,1,3,6,1,101.0,2,2,1,1,643,445,1088,1324,0,1324,2,0,3,1,2,6,1,1,1,1965.0,1,2,440,0,138,0,12,2006,160000
41,41,20,115.0,16905,5,6,1959,1959,1,1,1,1,2,0.0,2,2,1,2,967,383,1350,1328,0,1328,1,1,2,1,2,5,1,2,1,1959.0,1,1,308,0,104,0,7,2007,170000
42,42,85,1978.5061638868744,9180,5,7,1983,1983,1,1,4,4,2,0.0,2,1,1,4,747,0,840,884,0,884,1,0,2,1,1,5,1,0,1,1983.0,1,2,504,240,0,0,12,2007,144000
43,43,20,1978.5061638868744,9200,5,6,1975,1980,2,1,1,1,2,0.0,2,1,1,4,280,167,938,938,0,938,1,0,3,1,2,5,1,0,2,1977.0,2,1,308,145,0,0,7,2008,130250
44,44,20,70.0,7945,5,6,1959,1959,1,1,5,6,2,0.0,2,2,1,1,179,465,1150,1150,0,1150,1,0,3,1,2,6,1,0,1,1959.0,1,1,300,0,0,0,5,2006,141000
45,45,120,61.0,7658,9,5,2005,2005,2,1,2,2,1,412.0,1,3,1,1,456,1296,1752,1752,0,1752,2,0,2,1,3,6,1,1,1,2005.0,1,2,576,196,82,0,2,2010,319900
46,46,50,48.0,12822,7,5,2003,2003,1,1,1,1,2,0.0,1,3,1,1,1351,83,1434,1518,631,2149,1,1,1,1,1,6,1,1,1,2003.0,1,2,670,168,43,0,8,2009,239686
47,47,20,84.0,11096,8,5,2006,2006,1,1,1,1,2,0.0,1,1,1,4,24,1632,1656,1656,0,1656,2,0,3,1,1,7,1,0,1,2006.0,1,3,826,0,146,0,7,2007,249700
48,48,190,33.0,4456,4,5,1920,2008,1,1,2,2,2,0.0,3,2,1,1,0,736,736,736,716,1452,2,0,2,3,2,8,1,0,5,1978.5061638868744,4,0,0,0,0,102,6,2009,113000
49,49,20,66.0,7742,5,7,1966,1966,1,1,4,4,2,0.0,2,2,1,1,763,192,955,955,0,955,1,0,3,1,2,6,1,0,1,1966.0,2,1,386,0,0,0,1,2007,127000
50,50,60,1978.5061638868744,13869,6,6,1997,1997,1,1,1,1,2,0.0,1,1,1,4,182,612,794,794,676,1470,2,0,3,1,2,6,1,0,1,1997.0,3,2,388,0,75,0,7,2007,177000
51,51,50,52.0,6240,6,6,1934,1950,1,1,3,6,2,0.0,1,2,1,1,0,816,816,816,0,1176,1,0,3,1,2,6,1,1,2,1985.0,2,2,528,112,0,0,9,2006,114500
52,52,90,110.0,8472,5,5,1963,1963,1,1,3,6,2,0.0,2,1,1,2,104,0,816,816,0,816,1,0,2,1,2,5,1,0,4,1963.0,2,2,516,106,0,0,5,2010,110000
53,53,20,68.0,50271,9,5,1981,1987,1,2,6,3,2,0.0,2,3,1,2,1810,32,1842,1842,0,1842,0,1,0,1,1,5,1,1,1,1981.0,3,3,894,857,72,0,11,2006,385000
54,54,80,60.0,7134,5,5,1955,1955,1,1,2,2,2,0.0,2,2,1,1,384,0,384,1360,0,1360,1,0,3,1,2,6,2,1,2,1962.0,2,2,572,0,50,0,2,2007,130000
55,55,20,100.0,10175,6,5,1964,1964,1,1,4,5,1,272.0,2,2,1,1,490,935,1425,1425,0,1425,2,0,3,1,2,7,1,1,1,1964.0,1,2,576,0,0,0,7,2008,180500
56,56,160,24.0,2645,8,5,1999,2000,1,1,2,2,1,456.0,1,1,1,1,649,321,970,983,756,1739,2,1,3,1,1,7,1,0,1,1999.0,3,2,480,115,0,0,8,2009,172500
57,57,60,89.0,11645,7,5,2004,2004,1,1,1,1,2,0.0,1,1,1,1,0,860,860,860,860,1720,2,1,3,1,1,7,1,0,1,2004.0,1,2,565,0,70,0,8,2006,196500
58,58,60,66.0,13682,10,5,2006,2006,2,1,1,1,1,1031.0,1,3,1,2,0,1410,1410,1426,1519,2945,3,1,3,1,1,10,1,1,3,2006.0,3,3,641,192,0,37,10,2006,438780
59,59,20,60.0,7200,5,7,1972,1972,1,1,4,4,2,0.0,2,2,1,4,632,148,780,780,0,780,1,0,2,1,2,4,1,0,2,1973.0,2,1,352,196,0,0,1,2008,124900
60,60,20,63.0,13072,6,5,2004,2004,1,1,1,1,2,0.0,1,1,1,1,941,217,1158,1158,0,1158,1,1,3,1,1,5,1,0,2,2006.0,2,2,576,0,50,0,5,2006,158000
61,61,75,60.0,7200,5,7,1920,1996,1,1,2,2,2,0.0,3,2,4,1,0,530,530,581,530,1111,1,0,3,1,4,6,1,0,2,1935.0,2,1,288,0,0,144,3,2007,101000
62,62,120,44.0,6442,8,5,2006,2006,1,1,1,1,3,178.0,1,1,2,3,24,1346,1370,1370,0,1370,2,0,2,1,1,6,1,1,1,2006.0,1,2,484,120,49,0,10,2007,202500
63,63,70,50.0,10300,7,6,1921,1950,1,1,10,9,2,0.0,3,2,1,1,0,576,576,902,808,1710,2,0,3,1,2,9,1,0,2,1990.0,2,2,480,12,11,64,4,2010,140000
64,64,60,1978.5061638868744,9375,7,5,1997,1998,1,1,1,1,1,573.0,1,1,1,1,739,318,1057,1057,977,2034,2,1,3,1,1,8,1,0,1,1998.0,1,2,645,576,36,0,2,2009,219500
65,65,60,76.0,9591,8,5,2004,2005,1,1,1,1,1,344.0,1,3,1,4,0,1143,1143,1143,1330,2473,2,1,4,1,1,9,1,1,3,2004.0,1,3,852,192,151,0,10,2007,317000
66,66,20,1978.5061638868744,19900,7,5,1970,1989,1,1,8,5,1,287.0,2,1,1,2,912,1035,1947,2207,0,2207,2,0,3,1,2,7,2,1,1,1970.0,1,2,576,301,0,0,7,2010,180000
67,67,20,72.0,10665,7,5,2003,2003,1,1,1,1,1,167.0,1,1,1,4,1013,440,1453,1479,0,1479,2,0,3,1,1,7,1,0,1,2003.0,1,2,558,144,29,0,6,2007,226000
68,68,30,47.0,4608,4,6,1945,1950,1,1,2,2,2,0.0,2,2,1,1,0,747,747,747,0,747,1,0,2,1,2,4,1,0,1,1945.0,2,1,220,0,0,0,6,2010,80000
69,69,50,81.0,15593,7,4,1953,1953,1,1,5,10,2,0.0,2,2,1,1,603,701,1304,1304,983,2287,2,0,3,1,2,7,1,1,1,1953.0,3,2,667,0,21,114,7,2006,225000
70,70,20,95.0,13651,7,6,1973,1973,1,1,8,5,1,1115.0,2,1,1,2,1880,343,2223,2223,0,2223,2,0,3,1,2,8,1,2,1,1973.0,3,2,516,300,0,0,2,2007,244000
71,71,20,69.0,7599,4,6,1982,2006,1,1,4,5,2,0.0,2,2,1,1,565,280,845,845,0,845,1,0,2,1,2,4,1,0,2,1987.0,2,2,360,0,0,0,6,2007,129500
72,72,60,74.0,10141,7,5,1998,1998,1,1,1,1,1,40.0,1,1,1,1,0,832,832,885,833,1718,2,1,3,1,2,7,1,1,1,1998.0,3,2,427,0,94,0,12,2009,185000
73,73,20,85.0,10200,5,7,1954,2003,1,1,3,6,1,104.0,2,2,1,1,320,404,1086,1086,0,1086,1,0,3,1,2,6,1,0,1,1989.0,2,2,490,0,0,0,5,2010,144900
74,74,50,60.0,5790,3,6,1915,1950,3,1,1,1,2,0.0,2,5,1,1,0,840,840,840,765,1605,2,0,3,2,2,8,1,0,2,1915.0,2,1,379,0,0,202,5,2010,107400
75,75,180,21.0,1596,4,5,1973,1973,1,1,7,7,2,0.0,2,1,1,2,462,0,462,526,462,988,1,0,2,1,2,5,1,0,3,1973.0,2,1,297,120,101,0,11,2009,91000
76,76,20,1978.5061638868744,8475,4,7,1956,1956,1,1,1,1,2,0.0,2,2,1,1,228,724,952,952,0,952,1,0,2,1,2,4,1,0,2,1956.0,2,1,283,0,0,0,4,2008,135750
77,77,50,50.0,8635,5,5,1948,2001,1,1,3,6,2,0.0,2,2,1,1,336,295,672,1072,213,1285,1,0,2,1,2,6,2,0,2,1948.0,2,1,240,0,0,0,1,2008,127000
78,78,90,72.0,10778,4,5,1968,1968,2,1,4,4,2,0.0,2,2,1,1,0,1768,1768,1768,0,1768,2,0,4,2,2,8,1,0,5,1978.5061638868744,4,0,0,0,0,0,4,2010,136500
79,79,50,60.0,10440,5,6,1910,1981,1,1,3,6,2,0.0,1,2,1,1,0,440,440,682,548,1230,1,1,2,1,2,5,1,0,2,1966.0,2,2,440,74,0,128,5,2009,110000
80,80,60,100.0,13000,6,6,1968,1968,1,1,1,1,1,576.0,2,1,1,1,448,448,896,1182,960,2142,2,1,4,1,1,8,1,1,1,1968.0,3,1,509,0,72,0,6,2009,193500
81,81,120,32.0,4500,6,5,1998,1998,2,1,1,1,1,443.0,1,3,2,1,1201,36,1237,1337,0,1337,2,0,2,1,2,5,1,0,1,1998.0,3,2,405,0,199,0,3,2006,153500
82,82,20,78.0,10206,8,5,2007,2007,1,1,1,1,3,468.0,1,1,1,1,33,1530,1563,1563,0,1563,2,0,3,1,1,6,1,1,1,2007.0,1,3,758,144,99,0,10,2008,245000
83,83,20,80.0,8892,5,5,1960,1960,1,1,2,2,4,66.0,2,2,1,1,0,1065,1065,1065,0,1065,1,1,3,1,2,6,1,0,2,1974.0,2,2,461,74,0,0,7,2007,126500
84,84,80,1978.5061638868744,8530,7,5,1995,1996,1,1,4,4,1,22.0,1,1,1,1,0,384,384,804,670,1474,2,1,3,1,2,7,1,1,3,1995.0,3,2,400,120,72,0,5,2009,168500
85,85,60,121.0,16059,8,5,1991,1992,2,1,4,4,1,284.0,2,1,1,1,0,1288,1288,1301,1116,2417,2,1,4,1,1,9,1,1,1,1991.0,2,2,462,127,82,0,4,2006,260000
86,86,60,122.0,11911,6,5,2005,2005,1,1,1,1,2,0.0,1,1,1,4,0,684,684,684,876,1560,2,1,3,1,1,6,1,1,3,2005.0,3,2,400,100,38,0,3,2009,174000
87,87,160,40.0,3951,6,5,2009,2009,1,1,1,1,3,76.0,1,1,1,4,0,612,612,612,612,1224,2,1,2,1,1,4,1,0,2,2009.0,1,2,528,0,234,0,6,2009,164500
88,88,50,105.0,8470,3,2,1915,1982,2,1,8,5,2,0.0,2,2,4,1,0,1013,1013,1013,0,1526,1,0,2,1,4,6,1,0,5,1978.5061638868744,4,0,0,0,0,156,10,2009,85000
89,89,20,60.0,8070,4,5,1994,1995,1,1,1,1,2,0.0,1,1,1,1,588,402,990,990,0,990,1,0,3,1,2,5,1,0,5,1978.5061638868744,4,0,0,0,0,0,8,2007,123600
90,90,20,60.0,7200,4,5,1950,1950,1,1,5,6,2,0.0,5,4,3,5,0,0,0,1040,0,1040,1,0,2,1,2,4,1,0,2,1950.0,2,2,420,0,29,0,7,2006,109900
91,91,20,85.0,8500,5,3,1961,1961,2,1,4,4,4,203.0,2,2,1,1,600,635,1235,1235,0,1235,1,0,2,1,2,6,1,0,1,1961.0,2,2,480,0,0,0,12,2006,98600
92,92,30,80.0,13360,5,7,1921,2006,1,1,3,6,2,0.0,3,1,1,1,713,163,876,964,0,964,1,0,2,1,2,5,1,0,2,1921.0,2,2,432,0,0,44,8,2009,163500
93,93,190,60.0,7200,6,6,1910,1998,2,1,2,2,2,0.0,3,2,4,3,1046,168,1214,1260,1031,2291,2,0,4,2,2,9,1,1,2,1900.0,2,2,506,0,0,0,11,2007,133900
94,94,60,69.0,9337,6,5,1997,1997,1,1,1,1,2,0.0,1,1,1,1,648,176,824,905,881,1786,2,1,3,1,1,7,1,0,1,1997.0,1,2,684,0,162,0,5,2007,204750
95,95,60,1978.5061638868744,9765,6,8,1993,1993,1,1,1,1,1,68.0,1,1,2,1,310,370,680,680,790,1470,2,1,3,1,2,6,1,1,3,1993.0,3,2,420,232,63,0,4,2009,185000
96,96,20,78.0,10264,7,5,1999,1999,1,1,1,1,1,183.0,1,1,1,4,1162,426,1588,1588,0,1588,2,0,3,1,1,6,1,0,1,1999.0,1,2,472,158,29,0,8,2006,214000
97,97,20,73.0,10921,4,5,1965,1965,2,1,4,4,1,48.0,2,2,1,1,520,440,960,960,0,960,1,0,3,1,2,6,1,0,1,1965.0,3,1,432,120,0,0,5,2007,94750
98,98,30,85.0,10625,5,5,1920,1950,1,1,3,6,2,0.0,3,2,1,1,108,350,458,835,0,835,1,0,2,1,2,5,1,0,6,1920.0,2,1,366,0,0,77,5,2010,83000
99,99,20,77.0,9320,4,5,1959,1959,1,1,8,5,2,0.0,2,2,1,1,569,381,950,1225,0,1225,1,1,3,1,2,6,1,0,5,1978.5061638868744,4,0,0,352,0,0,1,2010,128950
100,100,20,1978.5061638868744,10603,6,7,1977,2001,1,1,8,5,1,28.0,1,2,1,3,1200,410,1610,1610,0,1610,2,0,3,1,1,6,1,2,1,1977.0,1,2,480,168,68,0,2,2010,205000
101,101,60,77.0,9206,6,5,1985,1985,1,1,4,4,1,336.0,2,1,1,1,0,741,741,977,755,1732,2,1,3,1,1,7,1,1,1,1985.0,3,2,476,192,46,0,6,2010,178000
102,102,90,64.0,7018,5,5,1979,1979,1,1,4,4,2,0.0,5,4,3,5,0,0,0,1535,0,1535,2,0,4,2,2,8,1,0,1,1979.0,2,2,410,0,0,0,6,2009,118964
103,103,20,94.0,10402,7,5,2009,2009,1,1,1,1,2,0.0,1,1,1,1,0,1226,1226,1226,0,1226,2,0,3,1,1,6,1,0,1,2009.0,1,3,740,0,36,0,5,2010,198900
104,104,50,1978.5061638868744,7758,7,4,1931,1950,1,1,10,9,1,600.0,1,2,1,1,224,816,1040,1226,592,1818,1,1,4,1,2,7,1,2,2,1951.0,2,1,240,0,0,0,6,2007,169500
105,105,60,75.0,9375,8,5,2003,2004,2,1,1,1,1,768.0,1,3,1,1,0,1053,1053,1053,939,1992,2,1,3,1,1,9,1,1,1,2003.0,1,2,648,140,45,0,8,2008,250000
106,106,30,60.0,10800,4,7,1885,1995,4,1,1,1,2,0.0,3,5,1,1,0,641,641,1047,0,1047,1,0,2,1,2,6,1,0,2,1954.0,2,1,273,0,0,0,8,2007,100000
107,107,20,50.0,6000,5,5,1948,1950,1,1,1,1,2,0.0,2,2,1,1,104,516,789,789,0,789,1,0,2,1,2,5,1,0,2,1948.0,2,1,250,0,0,0,4,2008,115000
108,108,50,85.0,8500,5,7,1919,2005,1,1,7,7,2,0.0,2,2,1,1,0,793,793,997,520,1517,2,0,3,1,4,7,1,0,5,1978.5061638868744,4,0,0,0,0,144,8,2007,115000
109,109,20,105.0,11751,6,6,1977,1977,2,1,8,5,1,480.0,2,1,1,1,705,1139,1844,1844,0,1844,2,0,3,1,2,7,1,1,1,1977.0,1,2,546,0,122,0,1,2010,190000
110,110,50,75.0,9525,6,4,1954,1972,1,1,3,6,2,0.0,2,2,4,1,444,550,994,1216,639,1855,2,0,4,1,2,7,1,0,1,1954.0,2,1,325,182,0,0,10,2006,136900
111,111,80,1978.5061638868744,7750,7,5,2000,2000,1,1,1,1,2,0.0,1,1,1,1,250,134,384,774,656,1430,2,1,3,1,2,7,1,1,3,2000.0,3,2,400,180,0,0,4,2010,180000
112,112,60,77.0,9965,7,5,2007,2007,1,1,1,1,3,220.0,1,3,1,4,984,280,1264,1282,1414,2696,2,1,4,1,3,10,1,1,3,2007.0,3,3,792,120,184,0,10,2007,383970
113,113,20,1978.5061638868744,21000,6,5,1953,1953,2,1,3,6,1,184.0,2,1,1,3,35,905,1809,2259,0,2259,2,0,3,1,1,7,1,2,6,1953.0,2,2,450,166,120,192,10,2007,217000
114,114,70,61.0,7259,6,8,1945,2002,3,1,3,6,2,0.0,2,2,1,1,774,104,1028,1436,884,2320,2,1,3,1,1,9,1,1,2,1945.0,2,1,180,224,0,0,7,2007,259500
115,115,160,34.0,3230,6,5,1999,1999,1,1,2,2,1,1129.0,1,1,1,1,419,310,729,729,729,1458,2,1,2,1,2,5,1,1,2,1999.0,2,2,440,0,32,0,6,2007,176000
116,116,20,1978.5061638868744,11616,5,5,1962,1962,1,1,3,6,1,116.0,2,2,1,1,170,252,1092,1092,0,1092,1,0,3,1,2,6,1,1,1,1962.0,2,1,288,0,20,144,9,2009,139000
117,117,20,74.0,8536,5,5,2006,2007,1,1,1,1,2,0.0,1,1,1,1,0,1125,1125,1125,0,1125,1,1,2,1,2,5,1,0,1,2007.0,2,2,430,80,64,0,4,2007,155000
118,118,60,90.0,12376,7,5,1990,1990,2,1,8,5,2,0.0,1,1,1,3,1470,203,1673,1699,1523,3222,3,0,5,1,1,11,1,2,1,1990.0,2,3,594,367,0,0,5,2010,320000
119,119,60,65.0,8461,6,5,2005,2006,1,1,1,1,2,0.0,1,1,1,1,0,728,728,728,728,1456,2,1,3,1,1,8,1,1,1,2005.0,3,2,390,0,24,0,7,2006,163990
120,120,80,1978.5061638868744,21453,6,5,1969,1969,5,3,8,5,2,0.0,2,2,1,2,938,0,938,988,0,988,1,0,1,1,2,4,1,2,1,1969.0,2,2,540,0,130,0,10,2006,180000
121,121,50,50.0,6060,4,5,1939,1950,1,1,9,10,2,0.0,1,2,1,1,0,732,732,772,351,1123,1,0,3,1,2,4,1,0,2,1979.0,2,1,264,0,0,140,6,2007,100000
122,122,20,75.0,9464,6,7,1958,1958,2,1,2,2,1,135.0,2,2,1,1,570,510,1080,1080,0,1080,1,0,3,1,2,5,1,0,1,1958.0,2,1,288,0,0,0,6,2008,136000
123,123,120,55.0,7892,6,5,1993,1993,1,1,8,5,2,0.0,1,1,1,1,300,899,1199,1199,0,1199,2,0,2,1,1,5,1,0,1,1993.0,1,2,530,0,63,0,3,2008,153900
124,124,20,48.0,17043,6,5,1979,1998,1,1,4,4,2,0.0,2,1,4,1,0,1362,1362,1586,0,1586,2,0,3,1,2,7,1,1,1,1979.0,2,2,435,192,0,0,1,2009,181000
125,125,190,60.0,6780,6,8,1935,1982,1,1,3,6,2,0.0,2,2,1,4,490,30,520,520,0,754,1,0,2,1,2,5,1,0,5,1978.5061638868744,4,0,0,53,0,0,6,2006,84500
126,126,120,1978.5061638868744,4928,6,5,1976,1976,1,1,8,5,2,0.0,2,1,1,1,120,958,1078,958,0,958,2,0,2,1,2,5,1,1,1,1977.0,1,2,440,0,205,0,2,2007,128000
127,127,45,55.0,4388,5,7,1930,1950,1,1,6,6,2,0.0,3,2,1,1,116,556,672,840,0,840,1,0,3,1,2,5,1,1,5,1978.5061638868744,4,0,0,0,0,0,6,2007,87000
128,128,60,69.0,7590,6,5,1966,1966,1,1,1,1,1,266.0,2,2,1,1,512,148,660,660,688,1348,1,1,3,1,2,6,1,1,1,1966.0,1,2,453,188,108,0,7,2006,155000
