,SalePrice,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd
67,226000,7,1479,2,558,1453,1479,2,7,2003,2003
68,80000,4,747,1,220,747,747,1,4,1945,1950
69,225000,7,2287,2,667,1304,1304,2,7,1953,1953
70,244000,7,2223,2,516,2223,2223,2,8,1973,1973
71,129500,4,845,2,360,845,845,1,4,1982,2006
72,185000,7,1718,2,427,832,885,2,7,1998,1998
73,144900,5,1086,2,490,1086,1086,1,6,1954,2003
74,107400,3,1605,1,379,840,840,2,8,1915,1950
75,91000,4,988,1,297,462,526,1,5,1973,1973
76,135750,4,952,1,283,952,952,1,4,1956,1956
77,127000,5,1285,1,240,672,1072,1,6,1948,2001
78,136500,4,1768,0,0,1768,1768,2,8,1968,1968
79,110000,5,1230,2,440,440,682,1,5,1910,1981
80,193500,6,2142,1,509,896,1182,2,8,1968,1968
81,153500,6,1337,2,405,1237,1337,2,5,1998,1998
82,245000,8,1563,3,758,1563,1563,2,6,2007,2007
83,126500,5,1065,2,461,1065,1065,1,6,1960,1960
84,168500,7,1474,2,400,384,804,2,7,1995,1996
85,260000,8,2417,2,462,1288,1301,2,9,1991,1992
86,174000,6,1560,2,400,684,684,2,6,2005,2005
87,164500,6,1224,2,528,612,612,2,4,2009,2009
88,85000,3,1526,0,0,1013,1013,1,6,1915,1982
89,123600,4,990,0,0,990,990,1,5,1994,1995
90,109900,4,1040,2,420,0,1040,1,4,1950,1950
91,98600,5,1235,2,480,1235,1235,1,6,1961,1961
92,163500,5,964,2,432,876,964,1,5,1921,2006
93,133900,6,2291,2,506,1214,1260,2,9,1910,1998
94,204750,6,1786,2,684,824,905,2,7,1997,1997
95,185000,6,1470,2,420,680,680,2,6,1993,1993
96,214000,7,1588,2,472,1588,1588,2,6,1999,1999
97,94750,4,960,1,432,960,960,1,6,1965,1965
98,83000,5,835,1,366,458,835,1,5,1920,1950
99,128950,4,1225,0,0,950,1225,1,6,1959,1959
100,205000,6,1610,2,480,1610,1610,2,6,1977,2001
101,178000,6,1732,2,476,741,977,2,7,1985,1985
102,118964,5,1535,2,410,0,1535,2,8,1979,1979
103,198900,7,1226,3,740,1226,1226,2,6,2009,2009
104,169500,7,1818,1,240,1040,1226,1,7,1931,1950
105,250000,8,1992,2,648,1053,1053,2,9,2003,2004
106,100000,4,1047,1,273,641,1047,1,6,1885,1995
107,115000,5,789,1,250,789,789,1,5,1948,1950
108,115000,5,1517,0,0,793,997,2,7,1919,2005
109,190000,6,1844,2,546,1844,1844,2,7,1977,1977
110,136900,6,1855,1,325,994,1216,2,7,1954,1972
111,180000,7,1430,2,400,384,774,2,7,2000,2000
112,383970,7,2696,3,792,1264,1282,2,10,2007,2007
113,217000,6,2259,2,450,1809,2259,2,7,1953,1953
114,259500,6,2320,1,180,1028,1436,2,9,1945,2002
115,176000,6,1458,2,440,729,729,2,5,1999,1999
116,139000,5,1092,1,288,1092,1092,1,6,1962,1962
117,155000,5,1125,2,430,1125,1125,1,5,2006,2007
118,320000,7,3222,3,594,1673,1699,3,11,1990,1990
119,163990,6,1456,2,390,728,728,2,8,2005,2006
120,180000,6,988,2,540,938,988,1,4,1969,1969
121,100000,4,1123,1,264,732,772,1,4,1939,1950
122,136000,6,1080,1,288,1080,1080,1,5,1958,1958
123,153900,6,1199,2,530,1199,1199,2,5,1993,1993
124,181000,6,1586,2,435,1362,1586,2,7,1979,1998
125,84500,6,754,0,0,520,520,1,5,1935,1982
126,128000,6,958,2,440,1078,958,2,5,1976,1976
127,87000,5,840,0,0,672,840,1,5,1930,1950
128,155000,6,1348,2,453,660,660,1,6,1966,1966
129,150000,5,1053,2,750,1008,1053,1,6,1958,1991
130,226000,7,2157,2,487,924,1216,2,8,1966,1966
131,244000,6,2054,2,390,992,1022,2,7,2000,2000
132,150750,5,1327,2,624,1063,1327,1,7,1959,2002
133,220000,8,1296,2,471,1267,1296,2,6,2001,2002
134,180000,5,1721,2,440,1461,1721,2,7,1968,1993
135,174000,7,1682,2,530,1304,1682,2,7,1970,1970
136,143000,5,1214,1,318,1214,1214,2,5,1967,1967
137,171000,7,1959,3,766,1907,1959,3,9,1988,1989
138,230000,8,1852,3,660,1004,1004,2,7,1999,2000
139,231500,6,1764,2,470,928,928,2,7,1997,1997
140,115000,4,864,0,0,864,864,1,5,1971,1971
141,260000,7,1734,2,660,1734,1734,2,7,2005,2005
142,166000,5,1385,2,720,910,910,2,6,1952,1952
143,204000,7,1501,2,577,1490,1501,2,6,1999,1999
144,125000,5,1728,2,504,1728,1728,2,10,1963,1963
145,130000,6,1709,2,380,970,970,2,7,2004,2006
146,105000,5,875,1,180,715,875,1,5,1931,1993
147,222500,7,2035,2,434,884,884,2,8,2001,2001
148,141000,7,1080,0,0,1080,1080,1,6,2004,2005
149,115000,5,1344,1,240,896,896,1,7,1936,1950
150,122000,5,969,2,440,969,969,1,5,1975,1975
151,372402,8,1710,3,866,1710,1710,2,6,2007,2008
152,190000,6,1993,2,495,825,1097,2,8,1971,1971
153,235000,6,1252,2,564,1602,1252,1,4,1960,1975
154,125000,6,1200,1,312,1200,1200,1,7,1923,1950
155,79000,6,1096,0,0,572,572,1,5,1924,1950
156,109500,5,1040,2,625,0,1040,1,5,1950,1950
157,269500,8,1968,3,680,774,774,2,8,2009,2010
158,254900,7,1947,2,678,991,991,2,8,2004,2005
159,320000,7,2462,2,576,1392,1392,2,9,2005,2006
160,162500,6,1232,2,516,1232,1232,2,6,1984,1984
161,412500,9,2668,3,726,1572,1572,2,10,2003,2004
162,220000,7,1541,2,532,1541,1541,2,7,2005,2005
163,103200,4,882,0,0,882,882,1,4,1956,1956
164,152000,6,1616,1,216,1149,1149,2,5,1926,2004
165,127500,5,1355,0,0,644,808,2,6,1940,1999
166,190000,5,1867,1,303,1617,1867,1,7,1955,1993
167,325624,8,2161,3,789,1582,1610,1,8,2007,2007
168,183500,7,1720,2,440,840,840,2,7,2004,2004
169,228000,8,1707,2,511,1686,1707,2,6,1981,1981
170,128500,5,1382,2,660,720,854,1,7,1941,1950
171,215000,6,1656,2,528,1080,1656,1,7,1960,1960
172,239000,7,1767,2,504,1064,1064,2,5,1987,1987
173,163000,6,1362,2,504,1362,1362,1,6,1961,1961
174,184000,6,1651,2,616,1606,1651,2,7,1986,1986
175,243000,6,2158,2,576,1202,2158,2,7,1950,2001
176,211000,6,2060,2,521,1151,1164,2,8,1988,1989
177,172500,5,1920,2,451,1052,1252,2,8,1958,1958
178,501837,9,2234,3,1166,2216,2234,2,9,2008,2009
179,100000,5,968,2,480,968,968,1,5,1923,2006
180,177000,6,1525,2,440,756,769,2,5,2000,2000
181,200100,7,1802,1,216,793,901,1,9,1920,1950
182,120000,5,1340,1,252,0,1340,1,7,1957,2006
183,200000,7,2082,2,484,1362,1362,2,6,2003,2003
184,127000,5,1252,2,576,504,936,1,5,1908,1991
185,475000,10,3608,3,840,1107,1518,2,12,1892,1993
186,173000,7,1217,2,497,1188,1217,2,6,1990,1991
187,135000,5,1656,1,180,660,808,2,8,1916,1987
188,153337,5,1224,2,528,1086,1224,0,6,1979,1979
189,286000,8,1593,2,682,1593,1593,1,5,2001,2002
190,315000,8,2727,2,440,853,1549,2,10,1932,1994
191,184000,7,1479,2,484,725,725,1,7,1972,2004
192,192000,7,1431,2,666,1431,1431,2,6,1999,1999
193,130000,7,1709,2,380,970,970,2,7,2004,2004
194,127000,5,864,1,352,864,864,1,5,1972,1972
195,148500,6,1456,2,440,855,855,2,7,1976,1976
196,311872,7,1726,3,786,1726,1726,2,8,2007,2007
197,235000,8,3112,2,795,1360,1360,2,8,1918,1990
198,104000,6,2229,0,0,755,929,1,8,1912,1950
199,274900,8,1713,3,856,1713,1713,2,7,2004,2005
200,140000,4,1121,2,440,1121,1121,2,5,2003,2004
201,171500,6,1279,2,473,1196,1279,2,6,1977,1977
202,112000,6,1310,1,398,617,865,2,6,1924,1950
203,149000,6,848,2,420,848,848,1,3,2004,2004
204,110000,5,1284,1,240,720,720,1,5,1947,1950
205,180500,7,1442,2,500,1424,1442,2,5,1990,1990
206,143900,5,1696,1,349,1140,1696,1,8,1962,1962
207,141000,4,1100,1,312,1100,1100,1,6,1960,1960
208,277000,7,2062,2,454,1157,1180,2,7,1988,1989
209,145000,6,1092,2,504,1092,1092,1,6,1964,1964
210,98000,5,864,0,0,864,864,1,5,1925,1950
211,186000,6,1212,2,460,1212,1212,2,6,2009,2009
212,252678,7,1852,2,644,900,932,2,7,2009,2009
213,156000,5,990,2,576,990,990,1,5,1995,1995
214,161750,6,1392,1,299,689,689,1,6,1977,1977
215,134450,5,1236,1,447,1070,1236,1,6,1957,1996
216,210000,7,1436,2,484,1436,1436,2,8,2004,2004
217,107000,4,1328,1,210,686,810,1,8,1925,1950
218,311500,7,1954,2,431,798,1137,1,8,1939,2006
219,167240,7,1248,2,438,1248,1248,2,5,2005,2006
220,204900,7,1498,2,675,1498,1498,2,5,2006,2006
221,200000,6,2267,2,390,1010,1010,2,8,2002,2002
222,179900,6,1552,2,434,713,811,2,6,1975,1975
223,97000,4,864,2,576,864,864,1,4,1971,1971
224,386250,10,2392,3,968,2392,2392,2,8,2003,2003
225,112000,5,1302,1,280,630,630,2,6,1971,1971
226,290000,7,2520,3,721,1203,1214,2,9,1995,1995
227,106000,6,987,1,280,483,483,1,5,1970,1970
228,125000,5,912,1,336,912,912,1,5,1967,1967
229,192500,7,1555,2,430,1373,1555,2,7,2005,2006
230,148000,6,1194,1,312,1194,1194,1,6,1959,1959
231,403000,8,2794,3,810,1462,1490,2,9,1995,1996
232,94500,6,987,1,288,483,483,1,5,1972,1972
233,128200,5,894,1,308,894,894,1,5,1976,1976
234,216500,6,1960,2,440,860,860,2,8,2002,2002
235,89500,6,987,1,264,483,483,1,5,1971,1971
236,185500,7,1414,2,494,1414,1414,2,6,2004,2004
237,194500,7,1744,2,457,996,1014,2,7,1993,2003
238,318000,8,1694,3,818,1694,1694,2,7,2007,2007
239,113000,6,1487,1,220,735,798,1,7,1945,1950
240,262500,8,1566,2,750,1566,1566,2,7,2008,2008
241,110500,5,866,0,0,686,866,1,4,1945,1997
242,79000,5,1440,1,352,540,889,1,6,1900,1950
243,120000,6,1217,1,288,626,626,1,6,1980,1980
244,205000,7,2110,2,463,948,1222,2,8,1994,2002
245,241500,7,1872,2,604,1845,1872,2,6,1988,1988
246,137000,6,1928,1,440,1020,908,2,9,1910,1950
247,140000,6,1375,2,451,1367,1375,1,5,1954,1954
248,180000,7,1668,2,500,840,840,2,8,2003,2003
249,277000,6,2144,2,389,1444,1444,2,7,1958,2006
250,76500,3,1306,0,0,728,1306,1,6,1940,1966
251,235000,8,1625,2,538,1573,1625,2,5,2006,2007
252,173000,6,1640,2,520,798,798,2,6,2004,2004
253,158000,6,1302,1,309,1302,1302,2,7,1964,1991
254,145000,5,1314,1,294,1314,1314,1,5,1957,1957
255,230000,7,2291,2,429,975,1005,2,8,1999,1999
256,207500,6,1728,2,673,864,864,2,7,2003,2003
257,220000,7,1604,2,660,1604,1604,2,8,2006,2006
258,231500,7,1792,2,564,963,963,2,7,2001,2001
259,97000,5,882,1,308,0,882,1,4,1956,1956
260,176000,6,1382,2,884,1362,1382,1,6,1962,1962
261,276000,8,2574,3,868,1482,1482,2,10,2007,2007
262,151000,6,1212,2,492,506,1212,1,6,1977,1995
263,130000,5,1316,2,484,926,926,1,6,1929,2001
264,73000,5,764,2,504,680,764,1,4,1925,2004
265,175500,6,1422,2,576,1422,1422,2,7,1981,1981
266,185000,6,1511,2,413,802,802,2,8,1997,1997
267,179500,5,2192,1,240,720,1052,2,8,1939,1997
268,120500,5,778,1,924,740,778,1,4,1940,1955
269,148000,6,1113,1,504,1143,1113,1,6,1976,1976
270,266000,8,1939,3,1053,1095,1095,2,8,2006,2006
271,241500,7,1363,2,439,1385,1363,1,5,1954,2005
272,290000,8,2270,3,671,1152,1164,2,9,1999,2007
273,139000,6,1632,1,338,1240,1632,2,6,1958,1988
274,124500,5,816,1,264,816,816,1,5,1982,1982
275,205000,7,1548,2,672,952,952,2,5,1925,2007
276,201000,7,1560,2,573,1560,1560,2,7,2003,2003
277,141000,4,864,2,400,864,864,1,4,1951,1951
278,415298,9,2121,3,732,2121,2121,2,8,2006,2007
279,192000,7,2022,2,505,1160,1156,2,8,1977,1977
280,228500,7,1982,2,575,807,1175,2,7,1989,1989
281,185000,6,1262,2,572,1262,1262,2,5,2006,2006
282,207500,7,1314,2,626,1314,1314,2,6,2007,2008
283,244600,8,1468,3,898,1468,1468,2,6,2008,2009
284,179200,6,1575,2,529,1575,1575,2,5,1992,1992
285,164700,7,1250,2,528,625,625,2,5,2006,2007
286,159000,6,1734,2,440,912,1085,1,7,1962,1981
287,88000,4,858,0,0,858,858,1,5,1971,1971
288,122000,5,900,1,280,882,900,1,5,1967,1967
289,153575,6,1396,1,384,698,698,1,7,1915,2003
290,233230,8,1919,2,685,1079,1079,2,8,2006,2006
291,135900,5,1716,0,0,780,936,2,9,1912,2000
292,131000,5,1716,1,281,768,1148,1,8,1949,2008
293,235000,7,2263,2,539,795,1468,2,9,1977,1994
294,167000,6,1644,2,418,1416,1644,1,7,1953,1953
295,142500,6,1003,2,588,1003,1003,1,6,1984,1984
296,152000,5,1558,1,282,910,910,1,6,1950,1950
297,239000,7,1950,2,576,975,975,2,7,1997,1998
298,175000,6,1743,2,539,702,1041,1,7,1968,1968
299,158500,6,1152,1,300,1092,1152,1,6,1950,2004
300,157000,5,1336,1,375,1165,1336,1,5,1953,1953
301,267000,8,2452,2,683,1028,1210,2,9,1998,1999
302,205000,7,1541,3,843,1541,1541,2,6,2001,2002
303,149900,5,894,2,552,894,894,1,5,1972,1972
304,295000,7,3493,3,870,1470,1675,3,10,1880,2002
305,305900,8,2000,3,888,2000,2000,2,8,2004,2005
306,225000,7,2243,3,746,700,1122,2,8,1990,1991
307,89500,6,1406,0,0,319,1035,1,6,1920,1950
308,82500,4,861,2,539,861,861,1,4,1940,1950
309,360000,9,1944,3,708,1896,1944,2,8,2003,2004
310,165600,6,1501,2,420,697,697,2,6,1993,1994
311,132000,6,972,1,240,972,972,1,5,1948,2002
312,119900,5,1118,2,410,793,793,1,5,1939,1950
313,375000,7,2036,2,513,2136,2036,2,8,1965,1965
314,178000,7,1641,2,546,728,832,1,6,1925,1990
315,188500,7,1432,2,432,716,716,2,6,2004,2005
316,260000,7,2353,2,484,845,1153,2,10,1980,1980
317,270000,8,1959,3,1025,1088,1088,2,8,2006,2006
318,260000,7,2646,3,656,1347,1372,2,9,1993,1993
319,187500,7,1472,2,588,1372,1472,2,6,1980,1980
320,342643,9,2596,3,840,1249,1249,3,9,2006,2006
321,354000,8,2468,3,872,1136,1136,2,10,2004,2004
322,301000,7,2730,2,576,1502,1553,2,8,1986,1987
323,126175,3,1163,1,220,1162,1163,1,6,1955,2005
324,242000,7,2978,2,564,710,1898,2,11,1967,2007
325,87000,5,803,2,360,720,803,1,5,1941,1950
326,324000,8,1719,2,473,1719,1719,1,6,1993,1993
327,145250,6,1383,1,292,1383,1383,1,7,1960,1960
328,214500,6,2134,2,441,844,1445,2,10,1916,1994
329,78000,5,1192,1,189,596,596,1,6,1920,1950
330,119000,5,1728,1,352,1728,1728,2,10,1964,1964
331,139000,5,1056,1,308,1056,1056,1,6,1958,1992
332,284000,8,1629,3,880,3206,1629,2,7,2003,2004
333,207000,7,1358,2,484,1358,1358,2,6,2004,2004
334,192000,6,1638,2,472,943,943,2,7,1998,1998
335,228950,5,1786,2,529,1499,1619,2,7,1965,1965
336,377426,9,1922,3,676,1922,1922,2,8,2005,2006
337,214000,7,1536,2,532,1536,1536,2,7,2002,2003
338,202500,7,1621,2,440,1208,1621,2,8,1984,1998
339,155000,6,1215,1,297,1215,1215,1,6,1958,1998
340,202900,8,1908,2,431,967,993,2,9,2002,2002
341,82000,4,841,1,294,721,841,1,4,1950,1950
342,87500,3,1040,2,400,0,1040,2,6,1949,1950
343,266000,9,1684,2,564,1684,1684,2,6,2005,2005
344,85000,5,1112,1,336,536,536,1,4,1976,1976
345,140200,6,1577,1,312,972,972,1,6,1939,1950
346,151500,6,958,1,301,958,958,1,5,1960,1998
347,157500,6,1478,2,498,1478,1478,2,6,1960,1960
348,154000,7,1626,2,474,764,764,2,6,2003,2004
349,437154,9,2728,3,706,1848,1848,2,10,2005,2006
350,318061,9,1869,2,617,1869,1869,2,6,2007,2007
351,190000,7,1453,2,445,1453,1453,1,6,1986,1986
352,95000,5,1111,1,200,616,616,1,5,1941,1950
353,105900,6,720,2,484,624,720,1,5,1928,2003
354,140000,6,1595,1,240,940,1192,1,6,1940,2000
355,177500,6,1200,2,521,1200,1200,2,6,1995,1995
356,173000,6,1167,2,400,1158,1167,2,6,1992,1992
357,134000,5,1142,2,528,1142,1142,1,6,1976,1976
358,130000,5,1352,1,288,1062,1352,1,6,1958,1958
359,280000,8,1924,2,592,1086,1086,2,7,1998,1998
360,156000,6,912,2,470,888,912,1,5,1978,1978
361,145000,5,1505,1,240,883,988,1,8,1940,1982
362,198500,7,1922,2,672,0,495,3,7,2003,2003
363,118000,6,987,1,264,483,483,1,5,1972,2007
364,190000,6,1574,2,566,796,790,2,6,1976,1976
365,147000,5,1344,1,468,672,672,1,6,1920,1997
366,159000,6,1394,2,514,1394,1394,1,6,1963,1963
367,165000,6,1431,1,296,1099,1431,1,6,1962,1962
368,132000,5,1268,1,244,1268,1268,1,7,1954,1954
369,162000,5,1287,2,576,1063,1287,1,7,1959,2006
370,172400,6,1664,2,460,953,953,2,7,2000,2000
371,134432,4,1588,2,680,0,1120,2,7,1959,1959
372,125000,6,752,1,264,744,752,1,4,1984,1984
373,123000,5,1319,1,270,608,1319,1,5,1953,1953
374,219500,7,1928,2,434,847,847,2,8,2003,2004
375,61000,1,904,0,0,683,904,0,4,1922,1950
376,148000,5,914,2,576,870,914,1,5,1996,1996
377,340000,8,2466,2,610,1580,1580,3,8,2004,2005
378,394432,9,1856,3,834,1856,1856,1,8,2010,2010
379,179000,6,1800,2,463,982,1007,2,7,2000,2000
380,127000,5,1691,1,308,1026,1026,2,6,1924,1950
381,187750,7,1301,2,572,1293,1301,2,5,2006,2006
382,213500,7,1797,2,639,939,939,2,8,2006,2006
383,76000,6,784,2,360,784,784,1,5,1928,1950
384,240000,6,1953,2,501,1580,1079,2,9,1992,1992
385,192000,8,1269,2,430,1256,1269,2,6,2004,2005
386,81000,5,1184,0,0,658,658,1,8,1910,1996
387,125000,6,1125,1,352,1041,1125,1,6,1976,1976
388,191000,7,1479,2,577,1468,1479,2,6,1999,2000
389,426000,10,2332,3,846,1682,1742,2,9,2007,2008
390,119000,5,1367,1,384,861,961,1,7,1900,1950
391,215000,6,1961,2,560,804,804,2,7,2001,2002
392,106500,5,882,1,294,0,882,1,5,1959,1959
393,100000,4,788,0,0,788,788,1,4,1941,1950
394,109000,5,1034,1,240,735,735,1,5,1940,1950
395,129000,5,1144,1,596,1144,1144,1,6,1956,1956
396,123000,5,894,2,600,894,894,1,6,1972,1972
397,169500,5,1812,1,264,864,876,2,8,1962,1962
398,67000,5,1077,1,338,961,1077,1,6,1920,1950
399,241000,7,1550,2,438,1092,1112,2,7,2006,2007
400,245500,8,1288,2,500,1260,1288,1,4,1996,1996
401,164990,7,1310,2,400,1310,1310,2,6,2005,2005
402,108000,5,672,1,240,672,672,1,4,1940,1997
403,258000,8,2263,2,420,1141,1165,2,10,1998,1998
404,168000,6,1572,2,373,806,806,2,7,1995,1996
405,150000,4,1620,2,490,1281,1620,2,8,1976,1993
406,115000,6,1639,1,240,1064,1166,1,6,1936,1950
407,177000,6,1680,1,308,840,840,2,8,1915,1976
408,280000,7,2172,3,947,1063,1071,2,9,2006,2006
409,339750,8,2078,3,836,1034,1050,2,8,2007,2008
410,60000,5,1276,1,350,1276,1276,1,5,1958,1958
411,145000,5,1056,2,572,1056,1056,1,5,1955,1955
412,222000,7,1478,2,484,1470,1478,2,7,2009,2009
413,115000,5,1028,2,360,1008,1028,1,5,1927,1950
414,228000,7,2097,3,678,1080,1080,2,9,1993,1993
415,181134,7,1340,2,396,1340,1340,2,6,2007,2007
416,149500,6,1400,2,440,672,672,1,6,1978,1978
417,239000,6,2624,3,864,1370,1370,2,10,1918,1950
418,126000,5,1134,1,240,756,756,1,7,1940,1950
419,142000,5,1056,1,304,1056,1056,1,6,1968,1968
420,206300,7,1344,4,784,1344,1344,2,8,1997,1998
421,215000,6,1602,2,529,1602,1602,2,8,1977,2000
422,113000,5,988,2,520,988,988,1,4,1954,1954
423,315000,8,2630,3,696,1470,1470,2,8,1998,1998
424,139000,6,1196,1,297,1196,1196,1,6,1956,1956
425,135000,7,1389,1,240,651,707,1,6,1946,1992
426,275000,7,1644,2,569,1518,1644,2,5,1989,1989
427,109008,4,907,1,352,907,907,1,5,1957,1957
428,195400,7,1208,2,628,1208,1208,2,6,2007,2007
429,175000,6,1412,2,576,1392,1412,2,6,1988,1988
430,85400,6,987,1,264,483,483,1,4,1971,1971
431,79900,6,1198,0,0,901,1088,1,7,1920,1998
432,122500,5,1365,2,440,765,765,1,6,1971,1971
433,181000,6,1604,2,470,926,926,2,7,1997,1998
434,81000,4,630,0,0,630,630,1,3,1972,1972
435,212000,7,1661,2,550,799,827,2,6,1996,1996
436,116000,6,1118,2,440,648,734,1,6,1920,1950
437,119000,6,904,1,180,884,904,1,4,1926,2004
438,90350,5,694,1,352,440,694,1,4,1913,2002
439,110000,6,1196,2,528,684,684,1,7,1920,2000
440,555000,10,2402,3,672,3094,2402,2,10,2008,2008
441,118000,4,1440,0,0,1440,1440,2,8,1955,1955
442,162900,5,1573,2,360,1078,1128,2,8,1930,1992
443,172500,7,1258,3,648,1258,1258,2,6,2006,2007
444,210000,7,1908,2,493,915,933,2,8,1994,1995
445,127500,6,1689,2,480,1436,1689,1,7,1956,1956
446,190000,6,1888,2,578,1517,1888,2,6,1966,2002
447,199900,7,1886,2,431,930,956,2,10,1998,1999
448,119500,6,1376,1,198,780,780,2,7,1937,1950
449,120000,3,1183,1,308,649,679,1,6,1948,2002
450,110000,6,813,1,270,813,813,1,5,1930,2005
451,280000,7,1533,2,576,1533,1533,2,5,1975,1975
452,204000,6,1756,2,422,872,888,2,7,1996,1997
453,210000,8,1590,2,676,768,786,2,6,2008,2008
454,188000,5,1728,2,560,1728,1728,2,8,1976,1976
455,175500,7,1242,2,528,1242,1242,1,6,1973,1973
456,98000,5,1344,3,513,624,624,1,7,1916,1950
457,256000,4,1663,2,529,1364,1663,1,6,1954,1994
458,161000,8,1666,1,228,588,833,1,7,1925,1996
459,110000,5,1203,1,352,709,979,1,5,1950,1950
460,263435,8,1935,2,552,832,832,2,8,2009,2009
461,155000,7,1135,2,576,560,575,1,6,1936,2007
462,62383,5,864,1,360,864,864,1,5,1965,1965
463,188700,6,1660,1,240,715,849,1,6,1934,1995
464,124000,5,1040,0,0,1040,1040,2,5,1978,1978
465,178740,7,1414,2,398,1375,1414,2,6,2004,2004
466,167000,7,1277,2,526,1277,1277,1,5,1970,1970
467,146500,5,1644,1,312,728,888,1,7,1942,1995
468,250000,8,1634,3,866,1626,1634,2,7,2006,2006
469,187000,6,1710,2,506,832,832,2,7,1993,1993
470,212000,8,1502,2,528,1488,1502,1,4,1985,1985
471,190000,7,1969,2,534,808,1161,2,8,1977,1977
472,148000,6,1072,2,525,547,1072,1,5,2005,2005
473,440000,8,1976,3,908,1976,1976,2,7,2006,2007
474,251000,8,1652,2,499,1494,1652,2,6,2000,2000
475,132500,5,970,2,624,970,970,1,5,1963,1963
476,208900,6,1493,2,508,1478,1493,2,7,1997,1998
