,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
30,31,70,3,50.0,8500,1,1,1,1,1,1,14,2,1,1,1,4,4,1920,1950,3,1,5,8,2,0.0,2,3,3,2,1,1,3,0,1,0,649,649,1,3,2,1,649,668,0,1317,0,0,1,0,3,1,2,6,1,0,2,1920.0,2,1,250,1,2,2,0,54,172,0,0,0,0,7,2008,1,1,40000
31,32,20,1,1978.5061638868744,8544,1,2,1,1,4,1,10,1,1,1,2,5,6,1966,2006,1,1,4,4,2,0.0,2,1,2,2,1,1,3,0,1,0,1228,1228,1,2,1,1,1228,0,0,1228,0,0,1,1,3,1,1,6,1,0,1,1966.0,2,1,271,1,1,1,0,65,0,0,0,0,0,6,2008,1,1,149350
32,33,20,1,85.0,11049,1,1,1,1,3,1,1,1,1,1,2,8,5,2007,2007,1,1,1,1,2,0.0,1,1,1,3,1,4,3,0,1,0,1234,1234,1,1,1,1,1234,0,0,1234,0,0,2,0,3,1,1,7,1,0,1,2007.0,1,2,484,1,1,1,0,30,0,0,0,0,0,1,2008,1,1,179900
33,34,20,1,70.0,10552,1,2,1,1,1,1,12,1,1,1,2,5,5,1959,1959,2,1,5,8,2,0.0,2,1,2,2,1,1,4,1018,1,0,380,1398,1,2,1,1,1700,0,0,1700,0,1,1,1,4,1,1,6,1,1,1,1959.0,1,2,447,1,1,1,0,38,0,0,0,0,0,4,2010,1,1,165500
34,35,120,1,60.0,7313,1,1,1,1,1,1,11,1,1,4,2,9,5,2005,2005,2,1,2,2,1,246.0,3,1,1,3,1,1,1,1153,1,0,408,1561,1,1,1,1,1561,0,0,1561,1,0,2,0,2,1,3,6,1,1,1,2005.0,3,2,556,1,1,1,203,47,0,0,0,0,0,8,2007,1,1,277500
35,36,60,1,108.0,13418,1,1,1,1,1,1,11,1,1,1,1,8,5,2004,2005,1,1,1,1,3,132.0,1,1,1,3,1,4,3,0,1,0,1117,1117,1,1,1,1,1132,1320,0,2452,0,0,3,1,4,1,1,9,1,1,3,2004.0,3,3,691,1,1,1,113,32,0,0,0,0,0,9,2006,1,1,309000
36,37,20,1,112.0,10859,1,1,1,1,3,1,1,1,1,1,2,5,5,1994,1995,1,1,1,1,2,0.0,2,1,1,1,1,1,3,0,1,0,1097,1097,1,1,1,1,1097,0,0,1097,0,0,1,1,3,1,2,6,1,0,1,1995.0,2,2,672,1,1,1,392,64,0,0,0,0,0,6,2009,1,1,145000
37,38,20,1,74.0,8532,1,1,1,1,1,1,12,1,1,1,2,5,6,1954,1990,2,1,3,6,1,650.0,2,1,2,2,1,1,4,1213,1,0,84,1297,1,2,1,1,1297,0,0,1297,0,1,1,0,3,1,2,5,1,1,1,1954.0,3,2,498,1,1,1,0,0,0,0,0,0,0,10,2009,1,1,153000
38,39,20,1,68.0,7922,1,1,1,1,1,1,12,1,1,1,2,5,7,1953,2007,1,1,1,1,2,0.0,2,2,2,2,1,1,1,731,1,0,326,1057,1,3,1,1,1057,0,0,1057,1,0,1,0,3,1,1,5,1,0,2,1953.0,2,1,246,1,1,1,0,52,0,0,0,0,0,1,2010,1,2,109000
39,40,90,1,65.0,6040,1,1,1,1,1,1,16,1,1,3,2,4,5,1955,1955,1,1,9,5,2,0.0,2,1,1,4,3,5,6,0,3,0,0,0,1,3,2,4,1152,0,0,1152,0,0,2,0,2,2,4,6,1,0,5,1978.5061638868744,4,0,0,4,3,2,0,0,0,0,0,0,0,6,2008,1,4,82000
40,41,20,1,84.0,8658,1,1,1,1,1,1,12,1,1,1,2,6,5,1965,1965,1,1,3,6,1,101.0,2,1,2,2,1,1,4,643,1,0,445,1088,1,1,1,1,1324,0,0,1324,0,0,2,0,3,1,2,6,1,1,1,1965.0,1,2,440,1,1,1,0,138,0,0,0,0,0,12,2006,1,2,160000
41,42,20,1,115.0,16905,1,1,1,1,1,1,17,1,1,1,2,5,6,1959,1959,1,1,1,1,2,0.0,2,2,2,2,1,2,5,967,1,0,383,1350,1,2,1,1,1328,0,0,1328,0,1,1,1,2,1,2,5,1,2,1,1959.0,1,1,308,1,1,3,0,104,0,0,0,0,0,7,2007,1,1,170000
42,43,85,1,1978.5061638868744,9180,1,2,1,1,4,1,13,1,1,1,5,5,7,1983,1983,1,1,4,4,2,0.0,2,1,2,1,1,4,2,747,6,93,0,840,1,2,1,1,884,0,0,884,1,0,1,0,2,1,1,5,1,0,1,1983.0,1,2,504,1,4,1,240,0,0,0,0,0,0,12,2007,1,1,144000
43,44,20,1,1978.5061638868744,9200,1,2,1,1,4,1,1,1,1,1,2,5,6,1975,1980,2,1,1,1,2,0.0,2,1,2,1,1,4,7,280,2,491,167,938,1,3,1,1,938,0,0,938,1,0,1,0,3,1,2,5,1,0,2,1977.0,2,1,308,1,1,1,145,0,0,0,0,0,0,7,2008,1,1,130250
44,45,20,1,70.0,7945,1,1,1,1,1,1,12,1,1,1,2,5,6,1959,1959,1,1,5,6,2,0.0,2,1,2,2,1,1,2,179,2,506,465,1150,1,1,1,3,1150,0,0,1150,1,0,1,0,3,1,2,6,1,0,1,1959.0,1,1,300,1,1,1,0,0,0,0,0,0,0,5,2006,1,1,141000
45,46,120,1,61.0,7658,1,1,1,1,1,1,11,1,1,4,2,9,5,2005,2005,2,1,2,2,1,412.0,3,1,1,3,1,1,1,456,1,0,1296,1752,1,1,1,1,1752,0,0,1752,1,0,2,0,2,1,3,6,1,1,1,2005.0,1,2,576,1,1,1,196,82,0,0,0,0,0,2,2010,1,1,319900
46,47,50,1,48.0,12822,1,2,1,1,4,1,5,1,1,1,3,7,5,2003,2003,1,1,1,1,2,0.0,1,1,1,3,1,1,1,1351,1,0,83,1434,1,1,1,1,1518,631,0,2149,1,0,1,1,1,1,1,6,1,1,1,2003.0,1,2,670,1,1,1,168,43,0,0,198,0,0,8,2009,1,2,239686
47,48,20,4,84.0,11096,1,1,1,1,1,1,6,1,1,1,2,8,5,2006,2006,1,1,1,1,2,0.0,1,1,1,1,1,4,1,24,1,0,1632,1656,1,1,1,1,1656,0,0,1656,0,0,2,0,3,1,1,7,1,0,1,2006.0,1,3,826,1,1,1,0,146,0,0,0,0,0,7,2007,1,1,249700
48,49,190,2,33.0,4456,1,1,1,1,1,1,8,1,1,2,1,4,5,1920,2008,1,1,2,2,2,0.0,2,1,3,2,1,1,3,0,1,0,736,736,1,2,1,1,736,716,0,1452,0,0,2,0,2,3,2,8,1,0,5,1978.5061638868744,4,0,0,4,3,2,0,0,102,0,0,0,0,6,2009,2,3,113000
49,50,20,1,66.0,7742,1,1,1,1,1,1,10,1,1,1,2,5,7,1966,1966,1,1,4,4,2,0.0,2,1,2,2,1,1,5,763,1,0,192,955,1,1,1,1,955,0,0,955,1,0,1,0,3,1,2,6,1,0,1,1966.0,2,1,386,1,1,1,0,0,0,0,0,0,0,1,2007,1,1,127000
50,51,60,1,1978.5061638868744,13869,1,3,1,1,3,1,18,1,1,1,1,6,6,1997,1997,1,1,1,1,2,0.0,2,1,1,1,1,4,1,182,1,0,612,794,1,2,1,1,794,676,0,1470,0,1,2,0,3,1,2,6,1,0,1,1997.0,3,2,388,1,1,1,0,75,0,0,0,0,0,7,2007,1,1,177000
51,52,50,2,52.0,6240,1,1,1,1,1,1,9,1,1,1,3,6,6,1934,1950,1,1,3,6,2,0.0,2,1,1,2,1,1,3,0,1,0,816,816,1,3,1,1,816,0,360,1176,0,0,1,0,3,1,2,6,1,1,2,1985.0,2,2,528,1,1,1,112,0,0,0,0,0,400,9,2006,1,1,114500
52,53,90,2,110.0,8472,2,3,2,1,3,2,14,6,1,3,2,5,5,1963,1963,1,1,3,6,2,0.0,4,1,2,1,1,2,7,104,7,712,0,816,1,3,2,1,816,0,0,816,1,0,1,0,2,1,2,5,1,0,4,1963.0,2,2,516,1,1,1,106,0,0,0,0,0,0,5,2010,1,1,110000
53,54,20,1,68.0,50271,1,2,3,1,1,1,2,1,1,1,2,9,5,1981,1987,1,2,6,3,2,0.0,1,1,2,3,1,2,1,1810,1,0,32,1842,1,2,1,1,1842,0,0,1842,2,0,0,1,0,1,1,5,1,1,1,1981.0,3,3,894,1,1,1,857,72,0,0,0,0,0,11,2006,1,1,385000
54,55,80,1,60.0,7134,1,1,2,1,1,2,12,1,1,1,6,5,5,1955,1955,1,1,2,2,2,0.0,2,1,2,2,1,1,2,384,1,0,0,384,1,3,1,1,1360,0,0,1360,0,0,1,0,3,1,2,6,2,1,2,1962.0,2,2,572,1,1,1,0,50,0,0,0,0,0,2,2007,1,1,130000
55,56,20,1,100.0,10175,1,2,1,1,1,1,12,1,1,1,2,6,5,1964,1964,1,1,4,5,1,272.0,2,1,2,2,1,1,5,490,1,0,935,1425,1,2,1,1,1425,0,0,1425,0,0,2,0,3,1,2,7,1,1,1,1964.0,1,2,576,1,1,1,0,0,0,407,0,0,0,7,2008,1,1,180500
56,57,160,4,24.0,2645,1,1,1,1,1,1,6,1,1,5,1,8,5,1999,2000,1,1,2,2,1,456.0,1,1,1,1,1,1,1,649,1,0,321,970,1,1,1,1,983,756,0,1739,1,0,2,1,3,1,1,7,1,0,1,1999.0,3,2,480,1,1,1,115,0,0,0,0,0,0,8,2009,1,2,172500
57,58,60,1,89.0,11645,1,2,1,1,3,1,1,1,1,1,1,7,5,2004,2004,1,1,1,1,2,0.0,1,1,1,1,1,1,3,0,1,0,860,860,1,1,1,1,860,860,0,1720,0,0,2,1,3,1,1,7,1,0,1,2004.0,1,2,565,1,1,1,0,70,0,0,0,0,0,8,2006,1,1,196500
58,59,60,1,66.0,13682,1,3,4,1,4,1,19,1,1,1,1,10,5,2006,2006,2,1,1,1,1,1031.0,3,1,1,3,1,2,3,0,1,0,1410,1410,1,1,1,1,1426,1519,0,2945,0,0,3,1,3,1,1,10,1,1,3,2006.0,3,3,641,1,1,1,192,0,37,0,0,0,0,10,2006,2,3,438780
59,60,20,1,60.0,7200,1,1,2,1,1,1,1,1,1,1,2,5,7,1972,1972,1,1,4,4,2,0.0,2,1,2,2,1,4,2,632,1,0,148,780,1,1,1,1,780,0,0,780,0,0,1,0,2,1,2,4,1,0,2,1973.0,2,1,352,1,1,1,196,0,0,0,0,0,0,1,2008,1,1,124900
60,61,20,1,63.0,13072,1,1,1,1,1,1,13,5,1,1,2,6,5,2004,2004,1,1,1,1,2,0.0,2,1,1,1,1,1,2,941,1,0,217,1158,1,1,1,1,1158,0,0,1158,1,0,1,1,3,1,1,5,1,0,2,2006.0,2,2,576,1,1,1,0,50,0,0,0,0,0,5,2006,2,3,158000
61,62,75,2,60.0,7200,1,1,1,1,1,1,14,1,1,1,7,5,7,1920,1996,1,1,2,2,2,0.0,2,1,3,2,4,1,3,0,1,0,530,530,1,3,2,1,581,530,0,1111,0,0,1,0,3,1,4,6,1,0,2,1935.0,2,1,288,1,1,2,0,0,144,0,0,0,0,3,2007,1,1,101000
62,63,120,1,44.0,6442,1,2,1,1,1,1,11,1,1,4,2,8,5,2006,2006,1,1,1,1,3,178.0,1,1,1,1,2,3,1,24,1,0,1346,1370,1,1,1,1,1370,0,0,1370,0,0,2,0,2,1,1,6,1,1,1,2006.0,1,2,484,1,1,1,120,49,0,0,0,0,0,10,2007,1,1,202500
63,64,70,2,50.0,10300,1,2,2,1,1,1,8,7,4,1,1,7,6,1921,1950,1,1,10,9,2,0.0,2,1,3,2,1,1,3,0,1,0,576,576,1,2,1,1,902,808,0,1710,0,0,2,0,3,1,2,9,1,0,2,1990.0,2,2,480,1,1,1,12,11,64,0,0,0,0,4,2010,1,1,140000
64,65,60,1,1978.5061638868744,9375,1,1,1,1,1,1,1,1,1,1,1,7,5,1997,1998,1,1,1,1,1,573.0,2,1,1,1,1,1,1,739,1,0,318,1057,1,1,1,1,1057,977,0,2034,1,0,2,1,3,1,1,8,1,0,1,1998.0,1,2,645,1,1,1,576,36,0,0,0,0,0,2,2009,1,1,219500
65,66,60,1,76.0,9591,1,1,1,1,1,1,11,1,1,1,1,8,5,2004,2005,1,1,1,1,1,344.0,1,1,1,3,1,4,3,0,1,0,1143,1143,1,1,1,1,1143,1330,0,2473,0,0,2,1,4,1,1,9,1,1,3,2004.0,1,3,852,1,1,1,192,151,0,0,0,0,0,10,2007,1,1,317000
66,67,20,1,1978.5061638868744,19900,1,1,1,1,1,1,12,8,1,1,2,7,5,1970,1989,1,1,8,5,1,287.0,2,1,2,1,1,2,1,912,1,0,1035,1947,1,3,1,1,2207,0,0,2207,1,0,2,0,3,1,2,7,2,1,1,1970.0,1,2,576,1,1,1,301,0,0,0,0,0,0,7,2010,1,1,180000
67,68,20,1,72.0,10665,1,2,1,1,1,1,1,1,1,1,2,7,5,2003,2003,1,1,1,1,1,167.0,1,1,1,1,1,4,1,1013,1,0,440,1453,1,1,1,1,1479,0,0,1479,1,0,2,0,3,1,1,7,1,0,1,2003.0,1,2,558,1,1,1,144,29,0,0,0,0,0,6,2007,1,1,226000
68,69,30,2,47.0,4608,1,1,1,1,3,1,8,4,1,1,2,4,6,1945,1950,1,1,2,2,2,0.0,2,2,2,2,1,1,3,0,1,0,747,747,1,3,1,1,747,0,0,747,0,0,1,0,2,1,2,4,1,0,1,1945.0,2,1,220,1,1,1,0,0,0,0,0,0,0,6,2010,1,1,80000
69,70,50,1,81.0,15593,1,1,1,1,3,1,20,1,1,1,3,7,4,1953,1953,1,1,5,10,2,0.0,1,1,2,2,1,1,5,603,1,0,701,1304,2,3,1,1,1304,983,0,2287,0,0,2,0,3,1,2,7,1,1,1,1953.0,3,2,667,1,1,1,0,21,114,0,0,0,0,7,2006,1,1,225000
70,71,20,1,95.0,13651,1,2,1,1,1,1,12,1,1,1,2,7,6,1973,1973,1,1,8,5,1,1115.0,2,2,2,1,1,2,2,1880,1,0,343,2223,1,1,1,1,2223,0,0,2223,1,0,2,0,3,1,2,8,1,2,1,1973.0,3,2,516,1,1,1,300,0,0,0,0,0,0,2,2007,1,1,244000
71,72,20,1,69.0,7599,1,1,1,1,3,1,5,1,1,1,2,4,6,1982,2006,1,1,4,5,2,0.0,2,1,2,2,1,1,2,565,1,0,280,845,1,3,1,1,845,0,0,845,1,0,1,0,2,1,2,4,1,0,2,1987.0,2,2,360,1,1,1,0,0,0,0,0,0,0,6,2007,1,1,129500
72,73,60,1,74.0,10141,1,2,1,1,3,1,18,1,1,1,1,7,5,1998,1998,1,1,1,1,1,40.0,2,1,1,1,1,1,3,0,1,0,832,832,1,2,1,1,885,833,0,1718,0,0,2,1,3,1,2,7,1,1,1,1998.0,3,2,427,1,1,1,0,94,0,0,291,0,0,12,2009,1,1,185000
73,74,20,1,85.0,10200,1,1,1,1,1,1,12,1,1,1,2,5,7,1954,2003,1,1,3,6,1,104.0,2,1,2,2,1,1,2,320,2,362,404,1086,1,2,1,1,1086,0,0,1086,1,0,1,0,3,1,2,6,1,0,1,1989.0,2,2,490,1,1,1,0,0,0,0,0,0,0,5,2010,1,1,144900
74,75,50,2,60.0,5790,1,1,1,1,3,1,8,1,1,1,1,3,6,1915,1950,3,1,1,1,2,0.0,1,2,2,5,1,1,3,0,1,0,840,840,1,2,2,1,840,765,0,1605,0,0,2,0,3,2,2,8,1,0,2,1915.0,2,1,379,1,1,1,0,0,202,0,0,0,0,5,2010,1,1,107400
75,76,180,2,21.0,1596,1,1,1,1,1,1,15,1,1,5,6,4,5,1973,1973,1,1,7,7,2,0.0,2,1,2,1,1,2,1,462,1,0,0,462,1,3,1,1,526,462,0,988,1,0,1,0,2,1,2,5,1,0,3,1973.0,2,1,297,1,1,1,120,101,0,0,0,0,0,11,2009,1,1,91000
